ref_mol	ref_frame	mol	frame	   rmsd
      0	        0	  0	    1	  2.676
      0	        0	  0	    2	  2.582
      0	        0	  0	    3	  2.974
      0	        0	  0	    4	  2.388
      0	        0	  0	    5	  2.075
      0	        0	  0	    6	  2.259
      0	        0	  0	    7	  2.984
      0	        0	  0	    8	  2.204
      0	        0	  0	    9	  2.199
      0	        0	  0	   10	  2.119
      0	        0	  0	   11	  2.130
      0	        0	  0	   12	  3.148
      0	        0	  0	   13	  2.084
      0	        0	  0	   14	  2.006
      0	        0	  0	   15	  2.475
      0	        0	  0	   16	  3.139
      0	        0	  0	   17	  2.108
      0	        0	  0	   18	  1.977
      0	        0	  0	   19	  2.512
      0	        0	  0	   20	  2.171
      0	        0	  0	   21	  2.429
      0	        0	  0	   22	  2.709
      0	        0	  0	   23	  2.452
      0	        0	  0	   24	  2.486
      0	        0	  0	   25	  2.485
      0	        0	  0	   26	  2.431
      0	        0	  0	   27	  2.560
      0	        0	  0	   28	  3.600
      0	        0	  0	   29	  2.207
      0	        0	  0	   30	  2.342
      0	        0	  0	   31	  2.195
      0	        0	  0	   32	  2.144
      0	        0	  0	   33	  2.223
      0	        0	  0	   34	  2.362
      0	        0	  0	   35	  2.280
      0	        0	  0	   36	  2.248
      0	        0	  0	   37	  2.148
      0	        0	  0	   38	  2.200
      0	        0	  0	   39	  3.034
      0	        0	  0	   40	  2.152
      0	        0	  0	   41	  2.402
      0	        0	  0	   42	  2.234
      0	        0	  0	   43	  2.791
      0	        0	  0	   44	  2.138
      0	        0	  0	   45	  2.264
      0	        0	  0	   46	  2.157
      0	        0	  0	   47	  2.797
      0	        0	  0	   48	  1.806
      0	        0	  0	   49	  2.512
      0	        0	  0	   50	  2.647
      0	        0	  0	   51	  2.281
      0	        0	  0	   52	  2.637
      0	        0	  0	   53	  2.184
      0	        0	  0	   54	  2.237
      0	        0	  0	   55	  2.316
      0	        0	  0	   56	  2.580
      0	        0	  0	   57	  2.330
      0	        0	  0	   58	  2.253
      0	        0	  0	   59	  2.548
      0	        0	  0	   60	  2.217
      0	        0	  0	   61	  2.359
      0	        0	  0	   62	  2.107
      0	        0	  0	   63	  3.072
      0	        0	  0	   64	  2.592
      0	        0	  0	   65	  2.751
      0	        0	  0	   66	  2.414
      0	        0	  0	   67	  2.639
      0	        0	  0	   68	  2.288
      0	        0	  0	   69	  2.213
      0	        0	  0	   70	  2.345
      0	        0	  0	   71	  2.214
      0	        0	  0	   72	  2.252
      0	        0	  0	   73	  2.270
      0	        0	  0	   74	  2.109
      0	        0	  0	   75	  2.527
      0	        0	  0	   76	  2.493
      0	        0	  0	   77	  2.028
      0	        0	  0	   78	  2.205
      0	        0	  0	   79	  2.571
      0	        0	  0	   80	  2.488
      0	        0	  0	   81	  3.065
      0	        0	  0	   82	  2.341
      0	        0	  0	   83	  2.186
      0	        0	  0	   84	  2.179
      0	        0	  0	   85	  1.992
      0	        0	  0	   86	  2.038
      0	        0	  0	   87	  2.523
      0	        0	  0	   88	  1.611
      0	        0	  0	   89	  2.497
      0	        0	  0	   90	  2.304
      0	        0	  0	   91	  3.072
      0	        0	  0	   92	  2.232
      0	        0	  0	   93	  2.407
      0	        0	  0	   94	  2.479
      0	        0	  0	   95	  2.803
      0	        0	  0	   96	  2.651
      0	        0	  0	   97	  2.418
      0	        0	  0	   98	  2.509
      0	        0	  0	   99	  2.320
      0	        0	  1	    0	  2.889
      0	        0	  1	    1	  2.803
      0	        0	  1	    2	  2.676
      0	        0	  1	    3	  2.816
      0	        0	  1	    4	  2.946
      0	        0	  1	    5	  2.390
      0	        0	  1	    6	  3.222
      0	        0	  1	    7	  2.387
      0	        0	  1	    8	  3.014
      0	        0	  1	    9	  2.398
      0	        0	  1	   10	  2.654
      0	        0	  1	   11	  3.216
      0	        0	  1	   12	  2.303
      0	        0	  1	   13	  3.066
      0	        0	  1	   14	  2.889
      0	        0	  1	   15	  3.045
      0	        0	  1	   16	  2.306
      0	        0	  1	   17	  2.814
      0	        0	  1	   18	  3.089
      0	        0	  1	   19	  3.063
      0	        0	  1	   20	  2.345
      0	        0	  1	   21	  3.076
      0	        0	  1	   22	  2.728
      0	        0	  1	   23	  3.204
      0	        0	  1	   24	  2.459
      0	        0	  1	   25	  2.570
      0	        0	  1	   26	  2.693
      0	        0	  1	   27	  2.647
      0	        0	  1	   28	  2.373
      0	        0	  1	   29	  2.859
      0	        0	  1	   30	  2.734
      0	        0	  1	   31	  2.884
      0	        0	  1	   32	  3.088
      0	        0	  1	   33	  2.750
      0	        0	  1	   34	  2.584
      0	        0	  1	   35	  2.861
      0	        0	  1	   36	  2.335
      0	        0	  1	   37	  3.344
      0	        0	  1	   38	  2.280
      0	        0	  1	   39	  3.199
      0	        0	  1	   40	  2.673
      0	        0	  1	   41	  3.089
      0	        0	  1	   42	  2.661
      0	        0	  1	   43	  3.040
      0	        0	  1	   44	  2.381
      0	        0	  1	   45	  2.678
      0	        0	  1	   46	  2.626
      0	        0	  1	   47	  2.644
      0	        0	  1	   48	  2.909
      0	        0	  1	   49	  3.088
      0	        0	  1	   50	  3.054
      0	        0	  1	   51	  3.268
      0	        0	  1	   52	  2.789
      0	        0	  1	   53	  2.734
      0	        0	  1	   54	  2.071
      0	        0	  1	   55	  3.201
      0	        0	  1	   56	  2.557
      0	        0	  1	   57	  3.309
      0	        0	  1	   58	  2.542
      0	        0	  1	   59	  2.701
      0	        0	  1	   60	  2.843
      0	        0	  1	   61	  3.193
      0	        0	  1	   62	  2.267
      0	        0	  1	   63	  3.038
      0	        0	  1	   64	  2.710
      0	        0	  1	   65	  2.426
      0	        0	  1	   66	  2.647
      0	        0	  1	   67	  3.028
      0	        0	  1	   68	  3.014
      0	        0	  1	   69	  2.470
      0	        0	  1	   70	  2.329
      0	        0	  1	   71	  2.291
      0	        0	  1	   72	  2.483
      0	        0	  1	   73	  2.619
      0	        0	  1	   74	  2.296
      0	        0	  1	   75	  2.660
      0	        0	  1	   76	  3.066
      0	        0	  1	   77	  2.895
      0	        0	  1	   78	  3.083
      0	        0	  1	   79	  2.405
      0	        0	  1	   80	  2.726
      0	        0	  1	   81	  2.334
      0	        0	  1	   82	  2.985
      0	        0	  1	   83	  2.572
      0	        0	  1	   84	  2.890
      0	        0	  1	   85	  3.381
      0	        0	  1	   86	  3.106
      0	        0	  1	   87	  3.169
      0	        0	  1	   88	  2.361
      0	        0	  1	   89	  2.634
