ref_mol	ref_frame	mol	frame	   rmsd
      1	        0	  1	   64	  2.831
      1	        0	  1	   65	  2.867
      1	        0	  1	   66	  2.795
      1	        0	  1	   67	  2.405
      1	        0	  1	   68	  2.707
      1	        0	  1	   69	  2.789
      1	        0	  1	   70	  2.702
      1	        0	  1	   71	  2.846
      1	        0	  1	   72	  3.024
      1	        0	  1	   73	  3.130
      1	        0	  1	   74	  3.033
      1	        0	  1	   75	  1.340
      1	        0	  1	   76	  2.408
      1	        0	  1	   77	  2.670
      1	        0	  1	   78	  3.439
      1	        0	  1	   79	  2.833
      1	        0	  1	   80	  3.070
      1	        0	  1	   81	  2.852
      1	        0	  1	   82	  3.203
      1	        0	  1	   83	  2.798
      1	        0	  1	   84	  2.259
      1	        0	  1	   85	  2.730
      1	        0	  1	   86	  2.767
      1	        0	  1	   87	  2.651
      1	        0	  1	   88	  2.781
      1	        0	  1	   89	  2.822
      1	        0	  1	   90	  3.156
      1	        0	  1	   91	  1.849
      1	        0	  1	   92	  2.322
      1	        0	  1	   93	  2.709
      1	        0	  1	   94	  2.661
      1	        0	  1	   95	  2.597
      1	        0	  1	   96	  2.747
      1	        0	  1	   97	  2.714
      1	        0	  1	   98	  2.370
      1	        0	  1	   99	  2.765
      1	        1	  0	    0	  2.803
      1	        1	  0	    1	  2.897
      1	        1	  0	    2	  2.123
      1	        1	  0	    3	  2.517
      1	        1	  0	    4	  2.937
      1	        1	  0	    5	  2.872
      1	        1	  0	    6	  2.841
      1	        1	  0	    7	  2.693
      1	        1	  0	    8	  2.840
      1	        1	  0	    9	  2.947
      1	        1	  0	   10	  2.851
      1	        1	  0	   11	  2.857
      1	        1	  0	   12	  2.599
      1	        1	  0	   13	  2.695
      1	        1	  0	   14	  3.042
      1	        1	  0	   15	  2.888
      1	        1	  0	   16	  3.022
      1	        1	  0	   17	  2.750
      1	        1	  0	   18	  2.760
      1	        1	  0	   19	  2.749
      1	        1	  0	   20	  2.877
      1	        1	  0	   21	  2.781
      1	        1	  0	   22	  2.901
      1	        1	  0	   23	  1.821
      1	        1	  0	   24	  2.973
      1	        1	  0	   25	  2.744
      1	        1	  0	   26	  3.030
      1	        1	  0	   27	  2.463
      1	        1	  0	   28	  2.693
      1	        1	  0	   29	  2.830
      1	        1	  0	   30	  2.587
      1	        1	  0	   31	  2.918
      1	        1	  0	   32	  2.795
      1	        1	  0	   33	  2.788
      1	        1	  0	   34	  2.919
      1	        1	  0	   35	  2.947
      1	        1	  0	   36	  2.859
      1	        1	  0	   37	  2.876
      1	        1	  0	   38	  2.735
      1	        1	  0	   39	  2.868
      1	        1	  0	   40	  2.843
      1	        1	  0	   41	  2.814
      1	        1	  0	   42	  2.924
      1	        1	  0	   43	  2.308
      1	        1	  0	   44	  2.764
      1	        1	  0	   45	  2.775
      1	        1	  0	   46	  2.874
      1	        1	  0	   47	  2.664
      1	        1	  0	   48	  2.525
      1	        1	  0	   49	  2.823
      1	        1	  0	   50	  2.397
      1	        1	  0	   51	  2.783
      1	        1	  0	   52	  2.371
      1	        1	  0	   53	  2.757
      1	        1	  0	   54	  2.823
      1	        1	  0	   55	  2.509
      1	        1	  0	   56	  2.934
      1	        1	  0	   57	  2.893
      1	        1	  0	   58	  2.912
      1	        1	  0	   59	  2.236
      1	        1	  0	   60	  2.629
      1	        1	  0	   61	  3.200
      1	        1	  0	   62	  2.779
      1	        1	  0	   63	  2.721
      1	        1	  0	   64	  2.849
      1	        1	  0	   65	  2.877
      1	        1	  0	   66	  2.755
      1	        1	  0	   67	  2.631
      1	        1	  0	   68	  3.031
      1	        1	  0	   69	  2.754
      1	        1	  0	   70	  2.779
      1	        1	  0	   71	  2.958
      1	        1	  0	   72	  3.069
      1	        1	  0	   73	  2.770
      1	        1	  0	   74	  2.807
      1	        1	  0	   75	  2.725
      1	        1	  0	   76	  2.700
      1	        1	  0	   77	  2.976
      1	        1	  0	   78	  2.666
      1	        1	  0	   79	  2.687
      1	        1	  0	   80	  2.810
      1	        1	  0	   81	  2.725
      1	        1	  0	   82	  2.865
      1	        1	  0	   83	  2.696
      1	        1	  0	   84	  2.759
      1	        1	  0	   85	  2.775
      1	        1	  0	   86	  2.914
      1	        1	  0	   87	  2.964
      1	        1	  0	   88	  2.617
      1	        1	  0	   89	  2.491
      1	        1	  0	   90	  2.792
      1	        1	  0	   91	  2.811
      1	        1	  0	   92	  2.850
      1	        1	  0	   93	  2.866
      1	        1	  0	   94	  2.731
      1	        1	  0	   95	  2.875
      1	        1	  0	   96	  2.922
      1	        1	  0	   97	  2.742
      1	        1	  0	   98	  3.127
      1	        1	  0	   99	  2.751
      1	        1	  1	    0	  2.466
      1	        1	  1	    2	  2.337
      1	        1	  1	    3	  2.598
      1	        1	  1	    4	  2.439
      1	        1	  1	    5	  2.011
      1	        1	  1	    6	  3.232
      1	        1	  1	    7	  2.069
      1	        1	  1	    8	  2.459
      1	        1	  1	    9	  3.254
      1	        1	  1	   10	  2.538
      1	        1	  1	   11	  2.569
      1	        1	  1	   12	  3.018
      1	        1	  1	   13	  3.204
      1	        1	  1	   14	  2.341
      1	        1	  1	   15	  3.109
      1	        1	  1	   16	  2.990
      1	        1	  1	   17	  3.046
      1	        1	  1	   18	  3.077
      1	        1	  1	   19	  2.495
      1	        1	  1	   20	  2.083
      1	        1	  1	   21	  3.239
      1	        1	  1	   22	  2.031
      1	        1	  1	   23	  3.397
      1	        1	  1	   24	  2.597
      1	        1	  1	   25	  2.339
      1	        1	  1	   26	  2.885
      1	        1	  1	   27	  2.957
      1	        1	  1	   28	  2.131
      1	        1	  1	   29	  2.409
      1	        1	  1	   30	  2.633
      1	        1	  1	   31	  2.447
